               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,             0.02477,           0.0086807,                   0,             0.99802,             0.98066,             0.99304,             0.68772,            0.023945,           0.0056521,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.024144,           0.0083257,                   0,             0.99609,             0.98452,             0.99394,             0.71401,            0.022549,           0.0055693,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.023851,           0.0083297,                   0,             0.99415,             0.98839,             0.99478,             0.70375,            0.022467,           0.0054554,                   0,            0.007591,            0.007591,            0.007591
                  75,             0.02371,            0.008266,                   0,             0.99417,             0.99032,             0.99486,              0.7024,            0.022416,            0.005489,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.023592,           0.0089983,                   0,             0.98839,             0.98838,             0.98985,             0.69572,            0.022627,           0.0055308,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.022431,           0.0081114,                   0,             0.98837,             0.98643,             0.99191,             0.70966,            0.022359,            0.005375,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.022699,           0.0082451,                   0,             0.98821,             0.97485,             0.99031,             0.67219,            0.024809,           0.0057652,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.024049,           0.0087033,                   0,             0.98834,             0.99033,             0.99375,             0.71618,            0.022892,           0.0053942,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.025089,           0.0082598,                   0,             0.99027,             0.98646,             0.98982,             0.68008,             0.02376,           0.0054811,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.023412,           0.0080474,                   0,             0.99224,             0.99033,             0.99364,             0.69694,            0.023023,           0.0054268,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.022811,           0.0081521,                   0,             0.98649,             0.98834,              0.9941,             0.69978,            0.023885,           0.0055935,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.024719,           0.0083945,                   0,             0.98455,             0.99226,             0.99473,             0.71826,            0.021948,           0.0054821,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.022811,           0.0081456,                   0,             0.99605,             0.98259,             0.99479,             0.66193,            0.025347,           0.0055784,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.024014,           0.0078979,                   0,             0.98644,             0.98839,             0.99415,             0.70082,            0.021899,           0.0056857,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.024647,           0.0082024,                   0,             0.98276,             0.99225,             0.99445,             0.69296,            0.022872,           0.0056812,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.022618,           0.0080919,                   0,             0.99025,             0.98259,             0.99004,             0.68091,            0.024381,           0.0057064,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.022514,            0.008213,                   0,             0.99804,             0.99033,             0.99498,              0.7235,            0.021983,           0.0056466,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.022186,           0.0075313,                   0,             0.99609,             0.98453,             0.99464,             0.68267,            0.024209,           0.0055581,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.021688,           0.0076039,                   0,             0.99607,             0.98453,             0.99434,             0.69452,             0.02295,           0.0054589,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.022038,           0.0079565,                   0,             0.99805,             0.99224,             0.99486,              0.7252,            0.021268,           0.0053987,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.021495,           0.0079584,                   0,             0.99419,             0.99226,             0.99437,              0.7174,            0.020782,           0.0052943,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.021333,           0.0076493,                   0,             0.99417,             0.99032,             0.99333,             0.68056,            0.022936,           0.0054027,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.021271,           0.0077216,                   0,             0.99612,             0.99226,             0.99492,              0.7285,              0.0209,           0.0052029,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.022981,           0.0071528,                   0,             0.99032,             0.99033,             0.99247,             0.68602,            0.023789,           0.0053481,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.021751,           0.0076075,                   0,             0.99417,             0.99033,             0.99447,             0.73291,            0.021787,           0.0053185,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.023144,           0.0076978,                   0,             0.99029,             0.98646,             0.99159,              0.6811,            0.024037,           0.0054186,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.021699,           0.0079134,                   0,             0.99029,             0.98644,             0.99341,             0.70365,             0.02269,           0.0053275,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.021697,           0.0072385,                   0,             0.99419,             0.99222,             0.99494,             0.72067,            0.021648,           0.0053006,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.021157,           0.0074781,                   0,              0.9961,              0.9942,             0.99498,             0.70514,             0.02248,           0.0052338,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.022865,           0.0076258,                   0,             0.99805,             0.99226,             0.99496,              0.7289,            0.020503,           0.0051466,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.021341,           0.0079184,                   0,             0.99611,             0.99031,              0.9949,             0.71833,             0.02141,           0.0051546,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.021506,           0.0077254,                   0,             0.99417,             0.99032,             0.99478,             0.73685,            0.021202,           0.0051418,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.020611,           0.0075912,                   0,             0.99413,             0.98257,             0.99405,             0.70892,            0.021802,           0.0053169,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.020316,           0.0080097,                   0,             0.99225,             0.99033,             0.99464,             0.72602,            0.020738,           0.0051128,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.021979,           0.0080087,                   0,             0.99226,             0.99226,             0.99486,             0.73345,            0.020448,           0.0051061,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.021053,           0.0074486,                   0,                   1,             0.99033,               0.995,             0.72007,            0.021798,           0.0052245,                   0,            0.006502,            0.006502,            0.006502
                 108,             0.02159,           0.0078399,                   0,             0.99805,             0.99226,               0.995,             0.74302,            0.020309,           0.0051211,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.020845,           0.0076256,                   0,             0.99418,             0.99226,             0.99397,              0.7412,            0.020475,           0.0051474,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.022949,           0.0070342,                   0,             0.99805,             0.99031,             0.99498,             0.72968,            0.020453,           0.0052765,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.022609,           0.0075636,                   0,             0.99607,             0.98259,             0.99286,             0.72919,            0.021802,           0.0053127,                   0,             0.00637,             0.00637,             0.00637
                 112,             0.01993,           0.0076141,                   0,             0.99611,             0.99226,             0.99484,             0.75388,            0.019908,           0.0050817,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.020146,           0.0074441,                   0,             0.99612,              0.9942,             0.99436,             0.71104,             0.02237,           0.0051382,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.022389,           0.0072416,                   0,             0.99035,             0.99224,             0.99371,             0.70236,            0.023757,           0.0052458,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.021907,           0.0073999,                   0,             0.99805,             0.99032,              0.9941,             0.75487,            0.019989,           0.0051255,                   0,            0.006238,            0.006238,            0.006238
                 116,             0.02077,           0.0075165,                   0,             0.99613,             0.99612,               0.995,             0.75214,            0.019814,           0.0050756,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.020129,           0.0071171,                   0,             0.98649,             0.98834,             0.99471,             0.74439,            0.020673,           0.0050431,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.018759,           0.0076037,                   0,             0.98841,             0.99226,             0.99488,             0.72967,            0.021195,           0.0051353,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.019515,           0.0072275,                   0,             0.99611,             0.99031,              0.9949,             0.74686,            0.020084,           0.0050423,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.018764,           0.0069536,                   0,             0.99225,             0.99032,             0.99459,             0.69957,            0.023151,           0.0051218,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.019536,           0.0074036,                   0,             0.99222,             0.99226,             0.99492,              0.7329,            0.020593,           0.0050229,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.019938,            0.007478,                   0,              0.9942,              0.9942,             0.99496,             0.74978,            0.020086,           0.0049021,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.020935,           0.0069852,                   0,             0.99416,             0.98839,             0.99461,             0.73388,            0.021615,           0.0050183,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.019027,            0.007415,                   0,             0.99805,              0.9903,             0.99496,             0.73921,             0.02116,           0.0050385,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.021249,           0.0074098,                   0,             0.99226,             0.99226,              0.9949,             0.71711,            0.022434,           0.0050615,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.018757,           0.0073095,                   0,             0.99416,             0.99226,             0.99494,              0.7471,            0.020309,           0.0049251,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.018941,            0.007032,                   0,             0.99611,             0.99226,             0.99494,             0.76204,            0.020127,           0.0050024,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.018626,           0.0070878,                   0,             0.99998,             0.99033,               0.995,             0.75026,            0.019817,           0.0049423,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.018044,           0.0067639,                   0,             0.99611,              0.9942,               0.995,             0.73953,            0.020668,           0.0049398,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.020011,           0.0075544,                   0,             0.99609,             0.99033,             0.99445,             0.72911,            0.021455,           0.0050483,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.020466,           0.0068057,                   0,             0.99228,             0.99419,             0.99492,             0.77371,            0.019188,           0.0050511,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.019382,           0.0069728,                   0,                   1,             0.98644,             0.99494,             0.74061,            0.020907,           0.0051076,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.018938,           0.0069544,                   0,                   1,             0.98839,              0.9949,             0.76129,            0.019658,           0.0049801,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.018224,           0.0065191,                   0,             0.99226,              0.9942,             0.99494,             0.75239,            0.020635,            0.005083,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.020433,            0.007446,                   0,             0.99805,              0.9942,               0.995,             0.77141,             0.01932,           0.0049239,                   0,            0.005578,            0.005578,            0.005578
                 136,             0.01933,           0.0065803,                   0,             0.99801,             0.99033,             0.99498,             0.75669,            0.019684,           0.0049211,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.018105,            0.007016,                   0,             0.99806,             0.99613,               0.995,             0.76862,            0.018786,           0.0047931,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.018355,           0.0070113,                   0,             0.99806,             0.99613,             0.99498,             0.76168,            0.019221,           0.0048804,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.018583,            0.007153,                   0,              0.9942,             0.99807,             0.99498,             0.75377,            0.019763,           0.0048578,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.018224,           0.0070575,                   0,             0.99226,             0.99226,             0.99488,             0.73143,            0.020385,           0.0049857,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.018042,            0.007014,                   0,             0.99611,             0.99226,              0.9941,             0.76291,             0.01918,           0.0048897,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.017235,           0.0070409,                   0,             0.99613,             0.99613,             0.99498,             0.76817,            0.018541,           0.0047612,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.019174,           0.0071975,                   0,             0.99419,              0.9942,              0.9943,             0.76152,            0.019316,            0.004906,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.017944,           0.0064447,                   0,             0.99805,             0.99226,             0.99498,             0.76285,            0.018998,           0.0048424,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.018052,           0.0067954,                   0,             0.99805,             0.99226,             0.99498,             0.73656,            0.020953,           0.0050079,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.018483,           0.0068939,                   0,             0.99611,             0.99226,             0.99496,             0.74364,            0.020196,            0.004972,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.018685,           0.0066703,                   0,             0.99611,             0.99226,             0.99494,              0.7693,            0.019392,           0.0049438,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.016943,           0.0065441,                   0,             0.99223,             0.98839,             0.99425,             0.75174,            0.020401,           0.0048817,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.017332,           0.0070161,                   0,             0.99609,             0.99033,             0.99446,             0.76613,            0.019316,           0.0048153,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.016947,           0.0066987,                   0,             0.99802,             0.99226,             0.99455,             0.75261,              0.0196,           0.0048934,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.018211,           0.0067336,                   0,             0.99805,             0.99226,             0.99428,             0.76173,            0.019413,           0.0048571,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.016559,           0.0066945,                   0,             0.99611,             0.99033,             0.99408,              0.7677,            0.019343,           0.0047827,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.017435,           0.0073781,                   0,             0.99607,             0.99033,             0.99413,             0.76082,            0.019774,           0.0048503,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.017886,           0.0068844,                   0,             0.99417,             0.99033,             0.99423,             0.75966,             0.01994,           0.0048931,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.017403,           0.0064164,                   0,             0.99609,             0.98839,             0.99398,             0.74605,            0.019974,           0.0048319,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.017778,           0.0067551,                   0,             0.99612,             0.99224,             0.99387,             0.78308,            0.018261,           0.0047321,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.017135,           0.0064022,                   0,                   1,             0.99419,               0.995,             0.76187,            0.018827,           0.0047909,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.017342,           0.0065322,                   0,                   1,             0.99225,               0.995,              0.7668,            0.018491,           0.0047717,                   0,            0.004819,            0.004819,            0.004819
                 159,             0.01812,           0.0067601,                   0,             0.99998,              0.9942,               0.995,             0.75692,            0.019486,           0.0048717,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.016074,           0.0069756,                   0,                   1,             0.99419,               0.995,             0.77861,            0.018705,           0.0047822,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.017135,           0.0068543,                   0,             0.99805,             0.99032,             0.99498,             0.78422,            0.018481,           0.0047548,                   0,             0.00472,             0.00472,             0.00472
                 162,             0.01497,            0.006624,                   0,             0.99998,             0.99226,               0.995,             0.78332,            0.018507,             0.00481,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.016821,           0.0063484,                   0,             0.99805,             0.99226,               0.995,             0.77228,            0.018731,           0.0047581,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.016407,           0.0068215,                   0,             0.99806,             0.99419,               0.995,             0.76176,            0.019548,           0.0047998,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.016438,           0.0061211,                   0,             0.99805,              0.9942,               0.995,             0.75905,             0.01986,           0.0047609,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.016155,            0.006671,                   0,             0.99806,             0.99418,             0.99494,             0.77406,            0.018496,           0.0048098,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.017289,           0.0066499,                   0,             0.99805,             0.98839,             0.99486,             0.76461,            0.019291,           0.0049051,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.016191,           0.0060826,                   0,             0.99802,             0.98646,             0.99486,             0.74822,            0.019882,           0.0049203,                   0,            0.004489,            0.004489,            0.004489
